,Unnamed: 0,word,first_two_letters,last_two_letters,words_with_same_start,words_with_same_ending,can_connect_with,is_used
13,13,abakus,ab,us,216,440,596,False
21,21,abazi,ab,zi,216,162,476,False
52,52,abdilbari,ab,ri,216,360,505,False
61,61,abdilkadri,ab,ri,216,360,505,False
84,84,abdulaziz,ab,iz,216,76,1157,False
85,85,abdulbari,ab,ri,216,360,505,False
157,157,abiogeneza,ab,za,216,622,2533,False
235,235,accad,ac,ad,69,243,279,False
236,236,accorsi,ac,si,69,205,1427,False
237,237,acel,ac,el,69,498,640,False
259,259,achour,ac,ur,69,170,412,False
268,268,acidoza,ac,za,69,622,2533,False
274,274,acim,ac,im,69,186,289,False
280,280,acimovicin,ac,in,69,11079,1119,False
289,289,acko,ac,ko,69,2939,3554,False
291,291,aco,ac,co,69,128,385,False
293,293,acs,ac,cs,69,8,14,False
300,300,adalgisa,ad,sa,279,590,2399,False
302,302,adalmina,ad,na,279,2449,2404,False
311,311,adamenko,ad,ko,279,2939,3554,False
312,312,adami,ad,mi,279,98,2154,False
316,316,adamko,ad,ko,279,2939,3554,False
327,327,adaptacijski,ad,ki,279,9213,515,False
341,341,adel,ad,el,279,498,640,False
344,344,adelaide,ad,de,279,90,1773,False
347,347,adele,ad,le,279,246,862,False
348,348,adelgisa,ad,sa,279,590,2399,False
351,351,adelheid,ad,id,279,249,116,False
358,358,adelko,ad,ko,279,2939,3554,False
360,360,adelma,ad,ma,279,336,3261,False
362,362,adelmo,ad,mo,279,76,1061,False
364,364,adem,ad,em,279,119,264,False
365,365,adema,ad,ma,279,336,3261,False
368,368,ademi,ad,mi,279,98,2154,False
374,374,adenokarcinom,ad,om,279,129,168,False
376,376,adenom,ad,om,279,129,168,False
378,378,adenovirus,ad,us,279,440,596,False
391,391,adija,ad,ja,279,4389,1068,False
392,392,adijabatski,ad,ki,279,9213,515,False
398,398,adila,ad,la,279,1042,950,False
399,399,adili,ad,li,279,480,893,False
405,405,adima,ad,ma,279,336,3261,False
407,407,adinda,ad,da,279,931,757,False
410,410,adionora,ad,ra,279,1040,2786,False
411,411,adis,ad,is,279,510,1046,False
412,412,adisa,ad,sa,279,590,2399,False
413,413,adita,ad,ta,279,1120,961,False
420,420,adjektivno,ad,no,279,9119,674,False
425,425,adjul,ad,ul,279,109,285,False
428,428,adlaf,ad,af,279,84,96,False
433,433,adlesicin,ad,in,279,11079,1119,False
435,435,adlof,ad,of,279,33,59,False
445,445,administratoricin,ad,in,279,11079,1119,False
449,449,administrirati,ad,ti,279,9493,520,False
451,451,admira,ad,ra,279,1040,2786,False
452,452,admiral,ad,al,279,378,742,False
459,459,admiralsko,ad,ko,279,2939,3554,False
469,469,adol,ad,ol,279,178,194,False
475,475,adolescentno,ad,no,279,9119,674,False
480,480,adolina,ad,na,279,2449,2404,False
482,482,adonis,ad,is,279,510,1046,False
485,485,adoptirati,ad,ti,279,9493,520,False
489,489,adoriana,ad,na,279,2449,2404,False
500,500,adresa,ad,sa,279,590,2399,False
511,511,adresno,ad,no,279,9119,674,False
512,512,adria,ad,ia,279,260,7,False
515,515,adriane,ad,ne,279,176,4240,False
518,518,adrienne,ad,ne,279,176,4240,False
521,521,adrijana,ad,na,279,2449,2404,False
530,530,adum,ad,um,279,144,201,False
534,534,adva,ad,va,279,486,951,False
539,539,adventisticko,ad,ko,279,2939,3554,False
550,550,advin,ad,in,279,11079,1119,False
554,554,advokatura,ad,ra,279,1040,2786,False
556,556,adzaga,ad,ga,279,374,864,False
562,562,adzem,ad,em,279,119,264,False
564,564,adzibaba,ad,ba,279,316,1853,False
572,572,adzul,ad,ul,279,109,285,False
584,584,aerodrom,ae,om,29,129,168,False
589,589,aeroklub,ae,ub,29,52,112,False
596,596,aerosol,ae,ol,29,178,194,False
605,605,afekcijin,af,in,96,11079,1119,False
607,607,afektacija,af,ja,96,4389,1068,False
608,608,afektacijin,af,in,96,11079,1119,False
612,612,afektirati,af,ti,96,9493,520,False
613,613,afektivan,af,an,96,7319,1279,False
614,614,afektivno,af,no,96,9119,674,False
616,616,afel,af,el,96,498,640,False
620,620,afer,af,er,96,2795,336,False
621,621,afera,af,ra,96,1040,2786,False
623,623,aferda,af,da,96,931,757,False
625,625,aferdite,af,te,96,321,978,False
626,626,aferentan,af,an,96,7319,1279,False
628,628,aferi,af,ri,96,360,505,False
633,633,affuso,af,so,96,110,765,False
639,639,afijete,af,te,96,321,978,False
641,641,afiksov,af,ov,96,9484,171,False
648,648,afirmativan,af,an,96,7319,1279,False
650,650,afirmirajuce,af,ce,96,619,1235,False
651,651,afirmirajuci,af,ci,96,725,876,False
654,654,afitavanje,af,je,96,5612,886,False
655,655,afize,af,ze,96,57,616,False
663,663,aforisticko,af,ko,96,2939,3554,False
665,665,aforizam,af,am,96,675,302,False
678,678,afrikanist,af,st,96,3954,2762,False
679,679,afrikanistov,af,ov,96,9484,171,False
682,682,afrim,af,im,96,186,289,False
684,684,afro,af,ro,96,270,898,False
689,689,afroazijsko,af,ko,96,2939,3554,False
690,690,afrodita,af,ta,96,1120,961,False
695,695,afrodizijsko,af,ko,96,2939,3554,False
708,708,agarinis,ag,is,173,510,1046,False
714,714,agbaba,ag,ba,173,316,1853,False
731,731,agentura,ag,ra,173,1040,2786,False
736,736,agh,ag,gh,173,13,14,False
743,743,agim,ag,im,173,186,289,False
756,756,agladios,ag,os,173,354,754,False
781,781,agnoli,ag,li,173,480,893,False
788,788,agolli,ag,li,173,480,893,False
793,793,agora,ag,ra,173,1040,2786,False
797,797,agostelli,ag,li,173,480,893,False
833,833,agrikultura,ag,ra,173,1040,2786,False
860,860,agrum,ag,um,173,144,201,False
863,863,agush,ag,sh,173,28,132,False
882,882,ahel,ah,el,51,498,640,False
964,964,ajdezi,aj,zi,95,162,476,False
1008,1008,ajri,aj,ri,95,360,505,False
1038,1038,ajzerle,aj,le,95,246,862,False
1096,1096,akciza,ak,za,307,622,2533,False
1112,1112,akim,ak,im,307,186,289,False
1115,1115,akinyemi,ak,mi,307,98,2154,False
1119,1119,akl,ak,kl,307,39,821,False
1123,1123,aklilu,ak,lu,307,7,586,False
1136,1136,ako,ak,ko,307,2939,3554,False
1182,1182,akrep,ak,ep,307,57,184,False
1199,1199,akronim,ak,im,307,186,289,False
1218,1218,aksiom,ak,om,307,129,168,False
1239,1239,aktiva,ak,va,307,486,951,False
1253,1253,aktivisticko,ak,ko,307,2939,3554,False
1294,1294,akupresura,ak,ra,307,1040,2786,False
1346,1346,al,al,al,742,378,742,False
